event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,,0,,,false,,,2023-09-10 04:56:00,false,AUTOMATIC,,,86,false,735H22M410,true,OFF ROUTE,25905000,86,73253,,,,DEPARTURE,,
ARRIVAL,,,2023-09-10 04:13:00,0,,,true,1,52739,2023-09-10 04:13:00,false,AUTOMATIC,,,21,false,521O541410,false,ON TIME,21920000,21,52739,true,,,ARRIVAL,52736,
ARRIVAL,2023-09-10 04:18:00,,2023-09-10 04:15:00,0,,,true,,52051,2023-09-10 04:15:00,false,AUTOMATIC,, 1,30,true,879I26M310,false,ON TIME,22218000,30,52051,true,UP,UP,DESTINATION,,
ARRIVAL,2023-09-10 04:14:00,,2023-09-10 04:14:00,2,,,true,,87920,2023-09-10 04:16:00,false,AUTOMATIC,, 1,88,true,871T04M310,false,LATE,24747000,88,87920,true,DOWN,DOWN,DESTINATION,,
ARRIVAL,2023-09-10 00:09:00,,2023-09-10 00:09:00,0,,,true,,00000,2023-09-10 00:09:00,false,MANUAL,,,21,true,505N14M909,false,ON TIME,21945001,21,50022,,,,DESTINATION,,
ARRIVAL,2023-09-10 00:19:00,,2023-09-10 00:19:00,0,,,true,,00000,2023-09-10 00:19:00,false,MANUAL,,,21,true,505N08M909,false,ON TIME,21945001,21,50022,,,,DESTINATION,,
ARRIVAL,2023-09-10 00:24:00,,2023-09-10 00:24:00,0,,,true,,00000,2023-09-10 00:24:00,false,MANUAL,,,21,true,505N62M909,false,ON TIME,21945001,21,50022,,,,DESTINATION,,
ARRIVAL,2023-09-10 04:16:00,,2023-09-10 04:15:30,0,,,true,1,87568,2023-09-10 04:15:00,false,AUTOMATIC,, 3,30,false,529I29M310,false,ON TIME,22215003,30,87568,true,DOWN,DOWN,ARRIVAL,87572,
ARRIVAL,2023-09-10 01:10:00,,2023-09-10 01:10:00,0,,,true,,50336,2023-09-10 01:10:00,false,MANUAL,,,33,true,505C56M110,false,ON TIME,21381008,33,50336,true,,,DESTINATION,,
ARRIVAL,2023-09-10 01:17:00,,2023-09-10 01:17:00,0,,,true,,50336,2023-09-10 01:17:00,false,MANUAL,,,33,true,505C58M110,false,ON TIME,21381008,33,50336,true,,,DESTINATION,,
